location,division_rank
Haut-Rhin,First Order Division
France,Country
Schlüsselstein,namedPlace
Bergheim near Ribeauvillé (Rappoltsweiler),namedPlace
Haut-Rhin,First Order Division
France,Country
Schlüsselstein,namedPlace
Vosges,First Order Division
Haut Rhin,namedPlace
France,Country
Bergheim near Ribeauvillé (Rappoltsweiler),namedPlace
Haut-Rhin,First Order Division
France,Country
La Croix-aux-Mines,namedPlace
Vosges,First Order Division
France,Country
Burg Reichenberg near Ribeauvillé (Rappoltsweiler),namedPlace
Haut-Rhin,First Order Division
France,Country
Musloch,namedPlace
Vallée de la Liepvrette (Lebertal) Sainte-Marie-aux-Mines (Markirch),namedPlace
Haut-Rhin,First Order Division
France,Country
Quarry St. Philippe,namedPlace
Echery (Eckirch),namedPlace
Sainte-Marie-aux-Mines (Markirch),namedPlace
Haut-Rhin,First Order Division
France,Country
Sainte-Marie-aux-Mines (Markirch),namedPlace
Haut-Rhin,First Order Division
France,Country
Echery (Eckirch),namedPlace
Sainte-Marie-aux-Mines (Markirch),namedPlace
Haut-Rhin,First Order Division
France,Country
Mine Christian,namedPlace
Echery (Eckirch),namedPlace
Sainte-Marie-aux-Mines (Markirch),namedPlace
Haut-Rhin,First Order Division
France,Country
Mine Gabe Gottes,namedPlace
Echery (Eckirch),namedPlace
Sainte-Marie-aux-Mines (Markirch),namedPlace
Haut-Rhin,First Order Division
France,Country
Phaunoux (Rauenthal),namedPlace
Sainte-Marie-aux-Mines (Markirch),namedPlace
Haut-Rhin,First Order Division
France,Country
Mine Chrétien,namedPlace
Phaunoux (Rauenthal),namedPlace
Sainte-Marie-aux-Mines (Markirch),namedPlace
Haut-Rhin,First Order Division
France,Country
Mine Engelsbourg (Engelsburg),namedPlace
Vallée de la Liepvrette (Lebertal) Sainte-Marie-aux-Mines (Markirch),namedPlace
Haut-Rhin,First Order Division
France,Country
Switzerland,Country
Val Cristallina,namedPlace
Switzerland,Country
Eisenbach,namedPlace
Titisee-Neustadt,namedPlace
Freiburg,namedPlace
Baden-Württemberg,First Order Division
Germany,Country
Wiesbach,namedPlace
Pforzheim,Second Order Division
Baden-Württemberg,First Order Division
Germany,Country
Weinheim,namedPlace
Quarry Vulkan,namedPlace
Urenkopf,namedPlace
Haslach,namedPlace
Offenburg,namedPlace
Baden-Württemberg,First Order Division
Germany,Country
Quarry Artenberg,namedPlace
Steinach,namedPlace
Haslach,namedPlace
Offenburg,namedPlace
Baden-Württemberg,First Order Division
Germany,Country
Triberg,namedPlace
Villingen-Schweningen,namedPlace
Baden-Württemberg,First Order Division
Germany,Country
Mine Friedrich-Christian,namedPlace
Wildschapbachtal,namedPlace
Schapbach,namedPlace
Freudenstadt,Second Order Division
Baden-Württemberg,First Order Division
Germany,Country
Schwarzwald,namedPlace
Germany,Country
Wolfach,namedPlace
Offenburg,namedPlace
Baden-Württemberg,First Order Division
Germany,Country
Kinzigtal,namedPlace
Schwarzwald,namedPlace
Germany,Country
St. Wenzel,namedPlace
Schwarzwald,namedPlace
Germany,Country
St. Wenzel,namedPlace
Planitz,namedPlace
Zwickau,Second Order Division
Saxony,namedPlace
Germany,Country
Hauenstein-Basistunnel,namedPlace
Tecknau,namedPlace
Basel-Landschaft,First Order Division
Switzerland,Country
Laufenburg,Second Order Division
Waldshut,Second Order Division
Baden-Württemberg,First Order Division
Germany,Country
Quarry Reibach,namedPlace
Kornberg,namedPlace
Frick,namedPlace
Aargau,First Order Division
Switzerland,Country
Bözberg-Eisenbahntunnel,namedPlace
Zeihen,namedPlace
Aargau,First Order Division
Switzerland,Country
Oberhofen,namedPlace
Aargau,First Order Division
Switzerland,Country
Karsau,namedPlace
Rheinfelden,Second Order Division
Lörrach,Second Order Division
Baden-Württemberg,First Order Division
Germany,Country
Herten,namedPlace
Rheinfelden,Second Order Division
Lörrach,Second Order Division
Baden-Württemberg,First Order Division
Germany,Country
Pelzmühletal,namedPlace
Grellingen,namedPlace
Basel-Landschaft,First Order Division
Switzerland,Country
Saline Kaiseraugst,namedPlace
Kaiseraugst,namedPlace
Aargau,First Order Division
Switzerland,Country
Staffelegg,namedPlace
Densbüren,namedPlace
Aargau,First Order Division
Switzerland,Country
Mergelgrube near Bretzwil,namedPlace
Basel-Landschaft,First Order Division
Switzerland,Country
Bretzwil,namedPlace
Baselland,namedPlace
Switzerland,Country
Fringeli,namedPlace
Bärschwil,namedPlace
Solothurn,First Order Division
Switzerland,Country
Grellingen,namedPlace
Basel-Landschaft,First Order Division
Switzerland,Country
Hirnichopf,namedPlace
Meltingen,namedPlace
Solothurn,First Order Division
Switzerland,Country
Bärschwil,namedPlace
Solothurn,First Order Division
Switzerland,Country
Bözen,namedPlace
Aargau,First Order Division
Switzerland,Country
Chrüzboden,namedPlace
Zullwil,namedPlace
Solothurn,First Order Division
Switzerland,Country
Meltingen,namedPlace
Solothurn,First Order Division
Switzerland,Country
Vorder Bürdis,namedPlace
Solothurn,First Order Division
Switzerland,Country
Ramstein,namedPlace
Bretzwil,namedPlace
Basel-Landschaft,First Order Division
Switzerland,Country
Neuhäusli,namedPlace
Beinwil,namedPlace
Solothurn,First Order Division
Switzerland,Country
Mine von Känel,namedPlace
Moutier,Second Order Division
Bern,First Order Division
Switzerland,Country
Creux du Vorbourg,namedPlace
Delémont,Second Order Division
Jura,First Order Division
Switzerland,Country
Vögelisrutsch (Ob. Fringeli),namedPlace
Bärschwil,namedPlace
Basel-Landschaft,First Order Division
Switzerland,Country
Ziegelei Moutier,namedPlace
Bern,First Order Division
Switzerland,Country
Klus von Court (Gorges de Court),namedPlace
Court,namedPlace
Bern,First Order Division
Switzerland,Country
Moutier,Second Order Division
Bern,First Order Division
Switzerland,Country
Miécourt,namedPlace
Jura,First Order Division
Switzerland,Country
Vermes,Second Order Division
Jura,First Order Division
Switzerland,Country
Glovelier,namedPlace
Jura,First Order Division
Switzerland,Country
Quarry La Malcôte,namedPlace
Asuel,namedPlace
Jura,First Order Division
Switzerland,Country
Nord-Ural,namedPlace
USSR,namedPlace
Wilni,namedPlace
Sibirien,namedPlace
USSR,namedPlace
Abo,namedPlace
Finland,Country
Petrovice,namedPlace
Westmähren,namedPlace
Czechoslovakia,namedPlace
Quarry Chlosterköpfli (Lachenköpfli),namedPlace
Muttenz,namedPlace
Basel-Landschaft,First Order Division
Switzerland,Country
Muttenzerberg,namedPlace
Muttenz,namedPlace
Basel-Landschaft,First Order Division
Switzerland,Country
Quarry ob Muttenz,namedPlace
Basel-Landschaft,First Order Division
Switzerland,Country
Quarry Sulz (Sulzsteingrube),namedPlace
Muttenz,namedPlace
Basel-Landschaft,First Order Division
Switzerland,Country
Pratteln,namedPlace
Basel-Landschaft,First Order Division
Switzerland,Country
Quarry Adlerberg,namedPlace
Pratteln,namedPlace
Basel-Landschaft,First Order Division
Switzerland,Country
Quarry Adler,namedPlace
Pratteln,namedPlace
Basel-Landschaft,First Order Division
Switzerland,Country
Bohrloch XII,namedPlace
Saline Schweizerhalle,namedPlace
Augst,namedPlace
Basel-Landschaft,First Order Division
Switzerland,Country
(Bad) Schauenburg,namedPlace
Liestal,Second Order Division
Basel-Landschaft,First Order Division
Switzerland,Country
Füllinsdorf,namedPlace
Basel-Landschaft,First Order Division
Switzerland,Country
Rothus,namedPlace
Muttenz,namedPlace
Basel-Landschaft,First Order Division
Switzerland,Country
Arisdorf,namedPlace
Basel-Landschaft,First Order Division
Switzerland,Country
Magden/ Maisprach,namedPlace
Aargau/Basel-Landschaft,namedPlace
Switzerland,Country
Schweizerhalle,namedPlace
Muttenz,namedPlace
Basel-Landschaft,First Order Division
Switzerland,Country
Rhein,namedPlace
Switzerland,Country
Kraftwerk Birsfelden,namedPlace
Brisfelden,namedPlace
Basel-Landschaft,First Order Division
Switzerland,Country
aus dem Rhein,namedPlace
Switzerland,Country
Bottmingen,namedPlace
Basel-Landschaft,First Order Division
Switzerland,Country
Harzgraben,namedPlace
Wettsteinbrücke,namedPlace
Basel,Second Order Division
Basel-Stadt,First Order Division
Switzerland,Country
Wettsteinbrücke,namedPlace
Basel,Second Order Division
Basel-Stadt,First Order Division
Switzerland,Country
Quarry oberhalb Ettingen,namedPlace
Basel-Landschaft,First Order Division
Switzerland,Country
Birsig,namedPlace
Basel,Second Order Division
Basel-Stadt,First Order Division
Switzerland,Country
Bürgerspital Basel,namedPlace
Basel,Second Order Division
Basel-Stadt,First Order Division
Switzerland,Country
Spiegelhof,namedPlace
Basel,Second Order Division
Basel-Stadt,First Order Division
Switzerland,Country
St. Jakob,namedPlace
Muttenz,namedPlace
Basel-Landschaft,First Order Division
Switzerland,Country
Gipsgrube beim Asp,namedPlace
Münchenstein,namedPlace
Basel-Landschaft,First Order Division
Switzerland,Country
Münchensteiner Brücke,namedPlace
Münchenstein,namedPlace
Basel-Landschaft,First Order Division
Switzerland,Country
Asp,namedPlace
Münchenstein,namedPlace
Basel-Landschaft,First Order Division
Switzerland,Country
Quarry near Münchenstein/Arlesheim,namedPlace
Basel-Landschaft,First Order Division
Switzerland,Country
Hausach,namedPlace
Offenburg,namedPlace
Baden-Württemberg,First Order Division
Germany,Country
Mine Herrensegen,namedPlace
Wildschapbachtal,namedPlace
Schapbach,namedPlace
Freudenstadt,Second Order Division
Baden-Württemberg,First Order Division
Germany,Country
Wildschappach,namedPlace
Kinzigtal,namedPlace
Schwarzwald,namedPlace
Germany,Country
Heubach,namedPlace
Wittichen,namedPlace
Freudenstadt,Second Order Division
Baden-Württemberg,First Order Division
Germany,Country
Mine Wenzel,namedPlace
Frohnbachtal,namedPlace
Oberwolfach,namedPlace
Offenburg,namedPlace
Baden-Württemberg,First Order Division
Germany,Country
Schapbach,namedPlace
Freudenstadt,Second Order Division
Baden-Württemberg,First Order Division
Germany,Country
Schappach,namedPlace
Germany,Country
Schappachtal,namedPlace
Baden,Second Order Division
Germany,Country
Britzingen,namedPlace
Badenweiler,namedPlace
Freiburg,namedPlace
Baden-Württemberg,First Order Division
Germany,Country
Karlstollen,namedPlace
Badenweiler,namedPlace
Freiburg,namedPlace
Baden-Württemberg,First Order Division
Germany,Country
Zähringen,namedPlace
Freiburg,namedPlace
Baden-Württemberg,First Order Division
Germany,Country
Altemannfels,namedPlace
Sehringen,namedPlace
Badenweiler,namedPlace
Freiburg,namedPlace
Baden-Württemberg,First Order Division
Germany,Country
Wiesental,namedPlace
Schwarzwald,namedPlace
Germany,Country
Todtnau,namedPlace
Lörrach,Second Order Division
Baden-Württemberg,First Order Division
Germany,Country
Mine Münstergrund/St. Trudpert,namedPlace
Münstergrund,namedPlace
St. Trudpert,namedPlace
Obermünstertal,namedPlace
Baden-Württemberg,First Order Division
Germany,Country
Mörslin,namedPlace
Kandern,namedPlace
Lörrach,Second Order Division
Baden-Württemberg,First Order Division
Germany,Country
Auggen,namedPlace
Müllheim,namedPlace
Freiburg,namedPlace
Baden-Württemberg,First Order Division
Germany,Country
Auggen near Müllheim,namedPlace
Germany,Country
Liel,namedPlace
Kandern,namedPlace
Lörrach,Second Order Division
Baden-Württemberg,First Order Division
Germany,Country
Grenzach,namedPlace
Lörrach,Second Order Division
Baden-Württemberg,First Order Division
Germany,Country
Wyhlen,namedPlace
Grenzach,namedPlace
Lörrach,Second Order Division
Baden-Württemberg,First Order Division
Germany,Country
St. Blasien,namedPlace
Waldshut,Second Order Division
Baden-Württemberg,First Order Division
Germany,Country
Albtal,namedPlace
Waldshut,Second Order Division
Baden-Württemberg,First Order Division
Germany,Country
St. Blasien,namedPlace
Schwarzwald,namedPlace
Germany,Country
Tiengen,namedPlace
Waldshut,Second Order Division
Baden-Württemberg,First Order Division
Germany,Country
Detzeln,namedPlace
Waldshut,Second Order Division
Baden-Württemberg,First Order Division
Germany,Country
Stühlingen,namedPlace
Waldshut,Second Order Division
Baden-Württemberg,First Order Division
Germany,Country
Murgtal,namedPlace
Laufenburg,Second Order Division
Waldshut,Second Order Division
Baden-Württemberg,First Order Division
Germany,Country
Altinger Adit,namedPlace
Schliengen,namedPlace
Kandern,namedPlace
Lörrach,Second Order Division
Baden-Württemberg,First Order Division
Germany,Country
Schliengen,namedPlace
Kandern,namedPlace
Lörrach,Second Order Division
Baden-Württemberg,First Order Division
Germany,Country
Todtmoos,namedPlace
Germany,Country
Gersbach,namedPlace
Waldshut,Second Order Division
Baden-Württemberg,First Order Division
Germany,Country
Hasler Cave/Erdmannshöhle,namedPlace
Hasel,namedPlace
Wehr,namedPlace
Waldshut,Second Order Division
Baden-Württemberg,First Order Division
Germany,Country
Todtmoos,namedPlace
Waldshut,Second Order Division
Baden-Württemberg,First Order Division
Germany,Country
Waldshut,Second Order Division
Baden-Württemberg,First Order Division
Germany,Country
Brombach,namedPlace
Lörrach,Second Order Division
Baden-Württemberg,First Order Division
Germany,Country
Rötteln,namedPlace
Lörrach,Second Order Division
Baden-Württemberg,First Order Division
Germany,Country
Todtnau,namedPlace
Wiesental,namedPlace
Schwarzwald,namedPlace
Germany,Country
Schönau,namedPlace
Lörrach,Second Order Division
Baden-Württemberg,First Order Division
Germany,Country
Häg-Ehrsberg,namedPlace
Wiesental,namedPlace
Lörrach,Second Order Division
Baden-Württemberg,First Order Division
Germany,Country
Mine Anton,namedPlace
Wieden,namedPlace
Todtnau,namedPlace
Lörrach,Second Order Division
Baden-Württemberg,First Order Division
Germany,Country
Istein,namedPlace
Lörrach,Second Order Division
Baden-Württemberg,First Order Division
Germany,Country
Efringen,namedPlace
Lörrach,Second Order Division
Baden-Württemberg,First Order Division
Germany,Country
Fäldbach,namedPlace
Binn,namedPlace
Valais,First Order Division
Switzerland,Country
Poretta,namedPlace
Sellenentobel,namedPlace
Silenen,namedPlace
Uri,First Order Division
Switzerland,Country
Droselegg (zwischen Chästal und Staldental),namedPlace
Silenen,namedPlace
Uri,First Order Division
Switzerland,Country
Lago di Fieud (Alpe Fieud),namedPlace
Airolo,namedPlace
Ticino,First Order Division
Switzerland,Country
zwischen Sidelhorn und Löffelhorn,namedPlace
Guttannen,namedPlace
Bern,First Order Division
Switzerland,Country
Piz Ault,namedPlace
Tujetsch,namedPlace
Grisons,namedPlace
Switzerland,Country
Hillehorn,namedPlace
Grengiols,namedPlace
Valais,First Order Division
Switzerland,Country
Fuorcla da Crispalt (Crispaltlücke),namedPlace
Tujetsch,namedPlace
Grisons,namedPlace
Switzerland,Country
Gärstengletscher (Gerstengletscher),namedPlace
Guttannen,namedPlace
Bern,First Order Division
Switzerland,Country
Mompé Medel,namedPlace
Disentis/Mustér Grisons,namedPlace
Switzerland,Country
Rotlauital,namedPlace
Guttannen,namedPlace
Bern,First Order Division
Switzerland,Country
Harnischwald near Bristen,namedPlace
Silenen,namedPlace
Uri,First Order Division
Switzerland,Country
Scherbadung (Pizzo Cervandone),namedPlace
Binn,namedPlace
Valais,First Order Division
Switzerland,Country
Furkafestung,namedPlace
Gale,namedPlace
Oberwald,namedPlace
Valais,First Order Division
Switzerland,Country
Feldbrunnen-St. Niklaus,namedPlace
Solothurn,First Order Division
Switzerland,Country
Adit Rotlaui-Trift,namedPlace
Guttannen,namedPlace
Bern,First Order Division
Switzerland,Country
Piz Giuv,namedPlace
Gurtnellen,namedPlace
Uri/Tujetsch,namedPlace
Grisons,namedPlace
Switzerland,Country
Gauligletscher,namedPlace
Innertkirchen,namedPlace
Bern,First Order Division
Switzerland,Country
Furka-Tunnel,namedPlace
Oberwald,namedPlace
Valais,First Order Division
Switzerland,Country
Sustenhorn,namedPlace
Göschenen,namedPlace
Uri,First Order Division
Switzerland,Country
Gebiet des Mont Blanc,namedPlace
Chamonix,namedPlace
Haute-Savoie,First Order Division
Rhône-Alpes,First Order Division
France,Country
Val Nalps,namedPlace
Tujetsch,namedPlace
Grisons,namedPlace
Switzerland,Country
Aabach,namedPlace
Tirol,First Order Division
Austria,Country
Chli/Gross Windgällen,namedPlace
Silenen,namedPlace
Uri,First Order Division
Switzerland,Country
Tierberg,namedPlace
Realp,namedPlace
Uri,First Order Division
Switzerland,Country
Bortelgletscher,namedPlace
Ried-Brig,namedPlace
Valais,First Order Division
Switzerland,Country
Chriegalppass,namedPlace
Grengiols,namedPlace
Valais,First Order Division
Switzerland,Country
Leggistein,namedPlace
Wassen,namedPlace
Uri,First Order Division
Switzerland,Country
Intschialp-Bachtobel,namedPlace
Intschialp,namedPlace
Gurtnellen,namedPlace
Uri,First Order Division
Switzerland,Country
Wittenalpstock,namedPlace
Silenen,namedPlace
Uri,First Order Division
Switzerland,Country
Glatscher da Giuv (Giuvgletscher),namedPlace
Tujetsch,namedPlace
Grisons,namedPlace
Switzerland,Country
Bellinzona,Second Order Division
Ticino,First Order Division
Switzerland,Country
Lengenbach,namedPlace
Binntal,namedPlace
Valais,First Order Division
Switzerland,Country
Binntal,namedPlace
Valais,First Order Division
Switzerland,Country
Viels near Sedrun,namedPlace
Tujetsch,namedPlace
Grisons,namedPlace
Switzerland,Country
Cuolm da Vi,namedPlace
Tujetsch,namedPlace
Grisons,namedPlace
Switzerland,Country
Guspis,namedPlace
Hospental,namedPlace
Uri,First Order Division
Switzerland,Country
Voralp,namedPlace
Göschenen,namedPlace
Uri,First Order Division
Switzerland,Country
Calanda,namedPlace
Tamins/Felsberg/Untervaz,namedPlace
Grisons,namedPlace
Switzerland,Country
Puntegliasgebiet,namedPlace
Trun,namedPlace
Grisons,namedPlace
Switzerland,Country
Standeltal,namedPlace
Wassen,namedPlace
Uri,First Order Division
